CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
00-18-0097-46,01-104,CIUDAD CAPITAL,ZONA 18,LICEO SAN RAFAEL ARCÁNGEL,"10A. CALLE 2-19, COLONIA SAN RAFAEL I",55148606.0,ISRAEL PORTILLO HERNANDEZ,JOSEFA AMELIA LÓPEZ URRUTIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-18-0100-46,01-104,CIUDAD CAPITAL,ZONA 18,LICEO SAN RAFAEL ARCÁNGEL,"10A. CALLE 2-19, COLONIA SAN RAFAEL I",41505233.0,ISRAEL PORTILLO HERNANDEZ,JOSEFA AMELIA LOPEZ URRUTIA,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-18-0106-46,01-106,CIUDAD CAPITAL,ZONA 18,"COLEGIO PARTICULAR MIXTO ""SAN RAFAEL""","LOTE 21, ALDEA LO DE RODRIGUEZ, KM 12.5 RUTA AL ATLANTICO",58685327.0,CESAR ARNOLDO MARTINEZ GARCIA,OSCAR DAVID RODENAS CUESI,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-18-0108-46,01-106,CIUDAD CAPITAL,ZONA 18,"COLEGIO PARTICULAR MIXTO ""SAN RAFAEL""","LOTE 21, ALDEA LO DE RODRGUEZ, KM 12.5 RUTA AL ATLANTICO",30415710.0,CESAR ARNOLDO MARTINEZ GARCIA,OSCAR DAVID RODENAS CUESI,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,FIN DE SEMANA,GUATEMALA NORTE
00-18-0109-46,01-106,CIUDAD CAPITAL,ZONA 18,"COLEGIO PARTICULAR MIXTO ""SAN RAFAEL""","LOTE 21, ALDEA LO DE RODRIGUEZ, KM 12.5 RUTA AL ATLANTICO",30415710.0,CESAR ARNOLDO MARTINEZ GARCIA,OSCAR DAVID RODENAS CUESI,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,FIN DE SEMANA,GUATEMALA NORTE
00-18-0127-46,01-111,CIUDAD CAPITAL,ZONA 18,COLEGIO BUENA VISTA,"35 AVENIDA ""A"" 23-31, RESIDENCIALES SAN RAFAEL BUENA VISTA",22424713.0,ROSA ALBA LOPEZ PIRIR,SILVIA PATRICIA RAMOS ESTRADA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-18-0138-46,01-403,CIUDAD CAPITAL,ZONA 18,LICEO JUVENIL DE COMPUTACIÓN C.S.S.,13A. AVENIDA 6-46,22561189.0,CARLOS HUMBERTO GONZALEZ DE LEON,ANNABELLA EMPERATRIZ JIMÉNEZ CASTELLANOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-18-0140-46,01-110,CIUDAD CAPITAL,ZONA 18,LICEO JUVENIL DE COMPUTACIÓN C.S.S.,"13A. AVENIDA 13-46, COLONIA LAVARREDA",22561189.0,ZUHILEM YESENIA ESTRADA ORTIZ,ANNABELLA EMPERATRIZ JIMÉNEZ CASTELLANOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-18-0142-46,01-110,CIUDAD CAPITAL,ZONA 18,"LICEO MIXTO EVANGÉLICO ""FUENTE DE ENSEÑANZA""","LOTE 25 Y 40 DE LA SECCIÓN ""G"", COLONIA LAS ILUSIONES",22553762.0,ZUHILEM YESENIA ESTRADA ORTIZ,MARIA LUISA CHACON ALDANA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-18-0147-46,01-106,CIUDAD CAPITAL,ZONA 18,"COLEGIO CRISTIANO ""PUEBLO DE DIOS""","K.10 RUTA AL ATLAN. MANZ. 3, SECTOR ""A"", L.NO. 12 Y 13, RES. STA.CLARA I",22607960.0,CESAR ARNOLDO MARTINEZ GARCIA,MAELY CORDÓN IPIÑA,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-18-0148-46,01-111,CIUDAD CAPITAL,ZONA 18,CENTRO EDUCATIVO JUAN PABLO II,"14 CALLE ""A"" 3-02, SAN RAFAEL III",22571320.0,ROSA ALBA LOPEZ PIRIR,IRIS MAGNOLIA GARCÍA SAMAYOA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-18-0154-46,01-110,CIUDAD CAPITAL,ZONA 18,LICEO CUMORAH PINOS,"31 CALLE B 28-97, ALDEA LAS TAPIAS",22603106.0,ZUHILEM YESENIA ESTRADA ORTIZ,MARÍA ANTONIA CAP GARCÍA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-18-0155-46,01-110,CIUDAD CAPITAL,ZONA 18,LICEO CUMORAH PINOS,"31 CALLE B 28-97, ALDEA LAS TAPIAS",22060310.0,ZUHILEM YESENIA ESTRADA ORTIZ,MARÍA ANTONIA CAP GARCÍA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-18-0156-46,01-110,CIUDAD CAPITAL,ZONA 18,LICEO CUMORAH PINOS,"31 CALLE B 28-97, ALDEA LAS TAPIAS",22603106.0,ZUHILEM YESENIA ESTRADA ORTIZ,MARÍA ANTONIA CAP GARCÍA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-18-0158-46,01-106,CIUDAD CAPITAL,ZONA 18,COLEGIO CRISTIANO FUENTE DEL ÉXITO,5A. CALLE E 60-48 RESIDENCIALES PINARES DEL NORTE,22422271.0,CESAR ARNOLDO MARTINEZ GARCIA,DORCAS EUNICE MORALES,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-18-0160-46,01-110,CIUDAD CAPITAL,ZONA 18,COLEGIO MIXTO EL CASTILLO,"9A. AVENIDA ""A"" 9-20, COLONIA ATLANTIDA",22550149.0,ZUHILEM YESENIA ESTRADA ORTIZ,MIRIAM LISSETTE PINEDA CHINCHILLA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-18-0161-46,01-110,CIUDAD CAPITAL,ZONA 18,LICEO CUMORAH PINOS,"31 CALLE B 28-97, ALDEA LAS TAPIAS",22603106.0,ZUHILEM YESENIA ESTRADA ORTIZ,MARÍA ANTONIA CAP GARCÍA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-18-0176-46,01-111,CIUDAD CAPITAL,ZONA 18,"INSTITUTO EXPERIMENTAL DE EDUCACIÓN BÁSICA ""FE Y ALEGRÍA NO. 5""","KM. 7.5 CARRETERA A SAN PEDRO AYAMPUC, COLONIA EL LIMON",22602451.0,ROSA ALBA LOPEZ PIRIR,CANDIDA LORENA COY CAMARGO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-18-0179-46,01-403,CIUDAD CAPITAL,ZONA 18,COLEGIO MIXTO EVANGELICO GILGAL,"63 AVENIDA A 5-98, COLONIA PINARES DEL NORTE",50180257.0,CARLOS HUMBERTO GONZALEZ DE LEON,CÉSAR AUGUSTO PINEDA PÉREZ,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-18-0180-46,01-316,CIUDAD CAPITAL,ZONA 18,"LICEO PREUNIVERSITARIO ""DR. NELSON MANDELA""",CA-9 NORTE (RUTA ATLNTICO) 34-05,54657140.0,CARLOS HUMBERTO GONZALEZ DE LEON,ELSIA ENELDINA MORALES ALARCÓN,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-18-0182-46,01-316,CIUDAD CAPITAL,ZONA 18,"LICEO PREUNIVERSITARIO ""DR. NELSON MANDELA""",CA-9 NORTE (RUTA ATLNTICO) 34-05,54654140.0,CARLOS HUMBERTO GONZALEZ DE LEON,ELSIA ENELDINA MORALES ALARCÓN,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-18-0183-46,01-316,CIUDAD CAPITAL,ZONA 18,"LICEO PREUNIVERSITARIO ""DR. NELSON MANDELA""",CA-9 NORTE (RUTA ATLNTICO) 34-05,54657140.0,CARLOS HUMBERTO GONZALEZ DE LEON,ELSIA ENELDINA MORALES ALARCÓN,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,FIN DE SEMANA,GUATEMALA NORTE
00-18-0184-46,01-111,CIUDAD CAPITAL,ZONA 18,COLEGIO MIXTO VALLE DE JESÚS,"43 AVENIDA ""B"" 44-70. RESIDENCIALES VALLE DE JESUS ZONA 18",22604053.0,ROSA ALBA LOPEZ PIRIR,SANDRA MARIBEL HERNÁNDEZ ENRÍQUEZ,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-18-0186-46,01-111,CIUDAD CAPITAL,ZONA 18,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,27 CALLE Y 34 AVENIDA COLONIA KENNEDY ZONA 18,56303726.0,ROSA ALBA LOPEZ PIRIR,YAQUELIN MURIEL CANTÉ MIGUEL,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-18-0188-46,01-111,CIUDAD CAPITAL,ZONA 18,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA POR MADUREZ,27 CALLE Y 34 AVENIDA COLONIA KENNEDY ZONA 18,30066439.0,ROSA ALBA LOPEZ PIRIR,SANDRA JUDITH PALENCIA MORALES,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-18-0189-46,01-104,CIUDAD CAPITAL,ZONA 18,LICEO CRISTIANO CIENCIA,"DIAGONAL 25, 45-55 COLONIA LA ESTANCIA",22602276.0,ISRAEL PORTILLO HERNANDEZ,LESLY PAOLA GUERRA FLORIAN,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-18-0191-46,01-104,CIUDAD CAPITAL,ZONA 18,LICEO CRISTIANO CIENCIA,"DIAGONAL 25, 45-55 COLONIOA LA ESTANCIA",22602276.0,ISRAEL PORTILLO HERNANDEZ,ANA REBECA DAVILA PEÑATE,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-18-0195-46,01-110,CIUDAD CAPITAL,ZONA 18,COLEGIO MIXTO PARROQUIAL SANGRE DE CRISTO,10 AV. 14-48 ATLANTIDA,22582750.0,ZUHILEM YESENIA ESTRADA ORTIZ,VERONICA TORRES SUCUP,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-18-0196-46,01-111,CIUDAD CAPITAL,ZONA 18,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA LA ESTANCIA,50 CALLE 41-89 LA ESTANCIA,,ROSA ALBA LOPEZ PIRIR,KARLA JANETH ASENCIO GÓMEZ,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-18-0198-46,01-111,CIUDAD CAPITAL,ZONA 18,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA POR MADUREZ LA ESTANCIA,50 CALLE 41-89 LA ESTANCIA,,ROSA ALBA LOPEZ PIRIR,ANA ISABEL CUC RAMOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-18-0201-46,01-104,CIUDAD CAPITAL,ZONA 18,LICEO CRISTIANO CIENCIA NO. 2,"LOTE 8 ""A"" , SECCION I, COLONIA ILUSIONES",22603689.0,ISRAEL PORTILLO HERNANDEZ,DINA LISSETTE CHAMALÉ MARCOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-18-0203-46,01-110,CIUDAD CAPITAL,ZONA 18,"LICEO MIXTO EVANGÉLICO ""FUENTE DE ENSEÑANZA""",LOTE 25 Y 40 DE LA SECCIÓN G COLONIA LAS ILUSIONES,22553762.0,ZUHILEM YESENIA ESTRADA ORTIZ,MARIA LUISA CHACON ALDANA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-18-0204-46,01-104,CIUDAD CAPITAL,ZONA 18,"LICEO EN COMPUTACIÓN ""SHOFAR""","12 CALLE ""D"" 17-43, COLONIA ALAMEDA IV",55526057.0,ISRAEL PORTILLO HERNANDEZ,EVELYN JEANNETH ARAGÓN REYES,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),GUATEMALA NORTE
00-18-0209-46,01-111,CIUDAD CAPITAL,ZONA 18,"COLEGIO MIXTO ""SAN JUAN PABLO""",21 CALLE 36-40 COLONIA SAN JORGE,22428520.0,ROSA ALBA LOPEZ PIRIR,IRIS MAGNOLIA GARCÍA SAMAYOA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-18-0211-46,01-110,CIUDAD CAPITAL,ZONA 18,COLEGIO BELLO AMANECER 2,"LOTE 101 Y 102 SECCIÓN ""C"" COLONIA LAS ILUSIONES",42169124.0,ZUHILEM YESENIA ESTRADA ORTIZ,ADA MARLENY GUERRA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-18-0212-46,01-110,CIUDAD CAPITAL,ZONA 18,COLEGIO BELLO AMANECER 2,"LOTE 101 Y 102 SECCIÓN ""C"" COLONIA LAS ILUSIONES",42169124.0,ZUHILEM YESENIA ESTRADA ORTIZ,ADA MARLENY GUERRA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-18-0216-46,01-110,CIUDAD CAPITAL,ZONA 18,COLEGIO LOS OLIVOS DEL NORTE,"SECTOR 2 MANZANA R LOTE 2, RESIDENCIALES LOS OLIVOS DEL NORTE",22852204.0,ZUHILEM YESENIA ESTRADA ORTIZ,MARÍA EUGENIA RABBÉ MARTÍNEZ,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,VIRTUAL A DISTANCIA,GUATEMALA NORTE
00-18-0218-46,01-110,CIUDAD CAPITAL,ZONA 18,"COLEGIO ""LOS OLIVOS DEL NORTE""","SECTOR 2, MANZANA R, LOTE 2, RESIDENCIALES LOS OLIVOS DEL NORTE",22852204.0,ZUHILEM YESENIA ESTRADA ORTIZ,IVONNE HAYDÉE MÉNDEZ CIFUENTES DE PARDO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),GUATEMALA NORTE
00-18-0220-46,01-110,CIUDAD CAPITAL,ZONA 18,LICEO CUMORAH PINOS,31 CALLE B 28-97 ALDEA LAS TAPIAS,22603791.0,ZUHILEM YESENIA ESTRADA ORTIZ,MARÍA ANTONIA CAP GARCÍA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-18-0222-46,01-403,CIUDAD CAPITAL,ZONA 18,COLEGIO MIXTO EVANGÉLICO GILGAL,63 AVENIDA A 5-98 COLONIA PINARES DEL NORTE,58258355.0,CARLOS HUMBERTO GONZALEZ DE LEON,CÉSAR AUGUSTO PINEDA PÉREZ,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),GUATEMALA NORTE
00-18-0223-46,01-403,CIUDAD CAPITAL,ZONA 18,COLEGIO DE FORMACIÓN PROFESIONAL EN COMPUTACIÓN C.F.P.C.,"MANZANA 5, LOTE 579, COLONIA MAYA",22603936.0,CARLOS HUMBERTO GONZALEZ DE LEON,FRANCISCO ROLANDO CORZANTES,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),GUATEMALA NORTE
00-18-0226-46,01-403,CIUDAD CAPITAL,ZONA 18,LICEO JUVENIL DE COMPUTACIÓN C.S.S.,13 AVENIDA 6-46,22561189.0,CARLOS HUMBERTO GONZALEZ DE LEON,ANNABELLA EMPERATRIZ JIMÉNEZ CASTELLANOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),GUATEMALA NORTE
00-18-0228-46,01-106,CIUDAD CAPITAL,ZONA 18,CENTRO EDUCATIVO INMACULADA CONCEPCIÓN,"27 AVENIDA 31-39, LAS TAPIAS",57125168.0,CESAR ARNOLDO MARTINEZ GARCIA,RONAL ALEXANDER BARRIOS PAZ,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),GUATEMALA NORTE
00-18-0229-46,01-403,CIUDAD CAPITAL,ZONA 18,LICEO FRANCO GUATEMALTECO,MANZANA 19 LOTE 627 COLONIA MAYA,45872960.0,CARLOS HUMBERTO GONZALEZ DE LEON,EVELIN SIOMARA FRANCO CHUR,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),GUATEMALA NORTE
00-18-0232-46,01-106,CIUDAD CAPITAL,ZONA 18,"COLEGIO PARTICULAR MIXTO ""SAN RAFAEL""","KILOMETRO 12.5 RUTA AL ATLÁNTICO, LOTE 21",30415710.0,CESAR ARNOLDO MARTINEZ GARCIA,OSCAR DAVID RODENAS CUESI,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),GUATEMALA NORTE
00-18-0234-46,01-106,CIUDAD CAPITAL,ZONA 18,COLEGIO BAUTISTA SHALOM,"35 AVENIDA 00-39, CARRETERA AL ATLANTICO",25053501.0,CESAR ARNOLDO MARTINEZ GARCIA,SANDRA YOJANA ESTRADA GARCÍA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),GUATEMALA NORTE
00-18-0238-46,01-110,CIUDAD CAPITAL,ZONA 18,LICEO PSICOPEDAGOGICO DEL NORTE,24 AVENIDA 10-28 SANTA GENOVEVA III,22555791.0,ZUHILEM YESENIA ESTRADA ORTIZ,HÈCTOR RAÚL MOSCOSO ORELLANA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-18-0240-46,01-403,CIUDAD CAPITAL,ZONA 18,LICEO DE CIENCIAS Y TÉCNICAS DE COMPUTACIÓN,KM. 5.5 RUTA AL ATLANTIDA,22584488.0,CARLOS HUMBERTO GONZALEZ DE LEON,WALTER GUILLERMO MURALLES LOPEZ,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),GUATEMALA NORTE
00-18-0241-46,01-403,CIUDAD CAPITAL,ZONA 18,"LICEO PREUNIVERSITARIO ""DR. NELSON MANDELA""",CA-9 NORTE (RUTA AL ATLÁNTICO) 34-05,41735998.0,CARLOS HUMBERTO GONZALEZ DE LEON,ELSIA ENELDINA MORALES ALARCÓN,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),GUATEMALA NORTE
00-18-0243-46,01-106,CIUDAD CAPITAL,ZONA 18,LICEO TECNOLÓGICO HOMBRE DE NAZARETH,13/02/2023,52087152.0,CESAR ARNOLDO MARTINEZ GARCIA,SULMAN ESPERANZA JIMENEZ CASTAÑAZA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),GUATEMALA NORTE
00-18-0245-46,01-111,CIUDAD CAPITAL,ZONA 18,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA POR MADUREZ,"27 CALLE Y 34 AVENIDA, COLONIA KENNEDY",56303726.0,ROSA ALBA LOPEZ PIRIR,JORGE ESTUARDO MONROY FERNÁNDEZ,OFICIAL,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),GUATEMALA NORTE
00-18-0246-46,01-403,CIUDAD CAPITAL,ZONA 18,"INSTITUTO MIXTO NOCTURNO ""EXDUCERE""","12 CALLE 23-60, PARAISO II",22067425.0,CARLOS HUMBERTO GONZALEZ DE LEON,THELMA ONDINA VASQUEZ REYEZ,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE
00-18-0247-46,01-106,CIUDAD CAPITAL,ZONA 18,"COLEGIO MIXTO ""JUVENTUD ACTIVA""","KILOMETRO 15 RUTA AL ATLÁNTICO, COLONIA SAN PASCUAL II, LOTE 6 Y 12",22554550.0,CESAR ARNOLDO MARTINEZ GARCIA,WENCESLAO TOBAR SALGUERO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),GUATEMALA NORTE
00-18-0251-46,01-110,CIUDAD CAPITAL,ZONA 18,COLEGIO BELLO AMANECER 2,LOTE 101 Y 102 SECCIÓN ¿C¿ COLONIA LAS ILUSIONES,42169124.0,ZUHILEM YESENIA ESTRADA ORTIZ,ADA MARLENY GUERRA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,FIN DE SEMANA,GUATEMALA NORTE
00-18-0252-46,01-111,CIUDAD CAPITAL,ZONA 18,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA DEL NORTE,1ERA. AVENIDA Y 2DA. CALLE COLONIA VALLE DEL NORTE,30066439.0,ROSA ALBA LOPEZ PIRIR,JORGE ESTUARDO MONROY FERNÁNDEZ,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-18-1067-46,01-110,CIUDAD CAPITAL,ZONA 18,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA COLEGIO INDIRA GANDHI,9A AVE. 5-33 COLONIA ATLANTIDA,,ZUHILEM YESENIA ESTRADA ORTIZ,MILDRED YADIRA HERNANDEZ LAZA LUX,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-18-7064-46,01-106,CIUDAD CAPITAL,ZONA 18,COLEGIO MIXTO JUVENTUD ACTIVA,"KILOMETR0 15, RUTA AL ATLANTICO, COLONIA SAN PASCUAL II, LOTE 6 Y 12",22554550.0,CESAR ARNOLDO MARTINEZ GARCIA,WENCESLAO TOBAR SALGUERO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-18-7237-46,01-301,CIUDAD CAPITAL,ZONA 18,LICEO DE CIENCIAS Y TECNICAS DE COMPUTACION,0 CALLE 12-67 RUTA AL ATLANTICO,22584488.0,ERICK ESTUARDO SANCHEZ ARCHILA,WALTER GUILLERMO MURALLES LOPEZ,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-18-7878-46,01-110,CIUDAD CAPITAL,ZONA 18,LICEO JUVENIL DE COMPUTACION C.S.S,13 AVE. 13-46 LAVARREDA,22561189.0,ZUHILEM YESENIA ESTRADA ORTIZ,ANNABELLA EMPERATRIZ JIMÉNEZ CASTELLANOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-18-8063-46,01-407,CIUDAD CAPITAL,ZONA 18,COLEGIO MIXTO SENDA DEL SABER,LOTE 7 ENTRADA A COLONIA EL ROSARIO,,CARLOS HUMBERTO GONZALEZ DE LEON,DESCONOCIDO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-18-8453-46,01-110,CIUDAD CAPITAL,ZONA 18,LICEO MIXTO EVANGELICO FUENTE SAGRADA DEL SABER,LOTE 8 SECCION I COLONIA LAS ILUSIONES,22603689.0,ZUHILEM YESENIA ESTRADA ORTIZ,DINA LISSETTE CHAMALÉ MARCOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-18-8465-46,01-104,CIUDAD CAPITAL,ZONA 18,"LICEO EN COMPUTACION ""SHOFAR""",12 CALLE D 17-43 ALAMEDA IV,55526057.0,ISRAEL PORTILLO HERNANDEZ,EVELYN JEANNETH ARAGÓN REYES,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-18-8635-46,01-106,CIUDAD CAPITAL,ZONA 18,CENTRO EDUCATIVO JUVENIL BAUTISTA SHALOM,KM. 9.5 CARRETERA AL ATLANTICO,25053535.0,CESAR ARNOLDO MARTINEZ GARCIA,JOSÉ RAMÓN BURGOS MONTERO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-18-8649-46,01-111,CIUDAD CAPITAL,ZONA 18,COLEGIO MIXTO EVANGELICO 'GILGAL',"63 AVENIDA 'A' 5-98, COLONIA PINARES DEL NORTE",50180257.0,ROSA ALBA LOPEZ PIRIR,CÉSAR AUGUSTO PINEDA PÉREZ,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-18-8738-46,01-111,CIUDAD CAPITAL,ZONA 18,LICEO PINARES,59 AV. B 6-28 COLONIA PINARES DEL NORTE,22571182.0,ROSA ALBA LOPEZ PIRIR,CARLOS ENRIQUE CHIQUITÓ BURRIÓN,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-18-8749-46,01-110,CIUDAD CAPITAL,ZONA 18,COLEGIO LOS OLIVOS DEL NORTE,RESIDENCIALES LOS OLIVOS,22852206.0,ZUHILEM YESENIA ESTRADA ORTIZ,MARÍA EUGENIA RABBÉ MARTÍNEZ,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
